
-----------
sample-job/
-----------

65 tests found in 5 runs.

  test_sms_add_number_to_existing_contact()                             :    5 runs,    0 skips,    4 passes,    0 failures,    0 xfails,    0 upasses,    1 errors,    0 spurious, (20% failed)
  test_import_contacts_menu_no_network()                                :    5 runs,    0 skips,    4 passes,    0 failures,    0 xfails,    0 upasses,    1 errors,    0 spurious, (20% failed)
  test_unlink_facebook_contact()                                        :    5 runs,    0 skips,    3 passes,    0 failures,    0 xfails,    0 upasses,    2 errors,    0 spurious, (40% failed)
  test_browser_bookmark()                                               :    5 runs,    0 skips,    3 passes,    0 failures,    0 xfails,    0 upasses,    2 errors,    0 spurious, (40% failed)
  test_persona_standard_sign_in()                                       :    5 runs,    0 skips,    3 passes,    0 failures,    0 xfails,    0 upasses,    2 errors,    0 spurious, (40% failed)
  test_import_contacts_from_gmail()                                     :    5 runs,    0 skips,    2 passes,    0 failures,    0 xfails,    0 upasses,    3 errors,    0 spurious, (60% failed)
  test_browser_clear_history()                                          :    5 runs,    0 skips,    2 passes,    0 failures,    0 xfails,    0 upasses,    3 errors,    0 spurious, (60% failed)
  test_browser_save_image()                                             :    5 runs,    0 skips,    1 passes,    0 failures,    0 xfails,    0 upasses,    4 errors,    0 spurious, (80% failed)
  test_capture_and_delete_video()                                       :    5 runs,    0 skips,    0 passes,    0 failures,    0 xfails,    0 upasses,    5 errors,    0 spurious, (100% failed)

